City,Publication,Date,Number of Instances,,,,,,,,,,,,,,,,items__end_year,,,,,,,,,,,,,,,,,,items__place_of_publication,,,,,,,,,,,,
Youngstown,American Magyar journal. [volume],1929-01-17,2,,,,,,,,,,,,,,,,1942,,,,,,,,,,,,,,,,,,"Youngstown, Ohio",,,,,,,,,,,,
Chicago,The day book. [volume],1916-12-14,13,,,,,,,,,,,,,,,,1917,,,,,,,,,,,,,,,,,,"Chicago, Ill.",,,,,,,,,,,,
New York,New-York tribune. [volume],1905-01-15,25,,,,,,,,,,,,,,,,1924,,,,,,,,,,,,,,,,,,New York [N.Y.],,,,,,,,,,,,
Washington,Evening star. [volume],1947-02-16,76,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1948-02-22,131,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1947-11-09,101,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1949-01-09,106,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1952-01-13,122,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Butte,Daily inter mountain. [volume],1899/02/04,11,,,,,,,,,,,,,,,,1901,,,,,,,,,,,,,,,,,,"Butte, Mont.",,,,,,,,,,,,
Washington,Evening star. [volume],1937-12-05,99,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1947-01-26,103,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,The Washington herald. [volume],1921-12-04,52,,,,,,,,,,,,,,,,1939,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
New York,New-York tribune. [volume],1903-02-01,29,,,,,,,,,,,,,,,,1924,,,,,,,,,,,,,,,,,,New York [N.Y.],,,,,,,,,,,,
Washington,Evening star. [volume],1936-10-10,17,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1940-03-10,116,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1937-01-17,80,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1948-02-29,121,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Chicago,The day book. [volume],1915-11-30,12,,,,,,,,,,,,,,,,1917,,,,,,,,,,,,,,,,,,"Chicago, Ill.",,,,,,,,,,,,
Washington,Evening star. [volume],1949-01-23,107,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
Washington,Evening star. [volume],1931-01-18,79,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,"Washington, D.C.",,,,,,,,,,,,
